"","Property_type","City","Country","Detail_clean","Bed_count","Final_price","Discount","Start_date","End_date","Duration_days","Nb_reviews","Rating","Location_full"
"1","Chalet","Skykomish","US","Sky Haus - A-Frame Cabin",4,229,TRUE,2023-06-11,2023-06-16,5,531,4.85,"Skykomish, Washington, US"
"2","Cabin","Hancock","US","The Catskill A-Frame - Mid-Century Modern Cabin",4,170,TRUE,2023-06-06,2023-06-11,5,146,4.77,"Hancock, New York, US"
"3","Cabin","West Farmington","US","The Triangle A-Frame Cabin for your city retreat",4,522,FALSE,2023-07-09,2023-07-14,5,515,4.91,"West Farmington, Ohio, US"
"4","Home","Blue Ridge","US","Summer Sizzle 5 Min to Blue Ridge Pets Hot tub",5,348,FALSE,2023-06-11,2023-06-16,5,88,4.94,"Blue Ridge, Georgia, US"
"5","Treehouse","Grandview","US","Luxury Treehouse Couples Getaway w Peaceful Views",1,196,TRUE,2023-06-04,2023-06-09,5,222,4.99,"Grandview, Texas, US"
"6","Tiny home","Puerto Escondido","Mexico","Casa Tiny near Casa Wabi",1,148,TRUE,2023-06-21,2023-06-26,5,555,4.84,"Puerto Escondido, Mexico"
"7","Home","Saco","US","The Beach House. Oceanfront Sunrise Views!",2,607,FALSE,2023-06-04,2023-06-09,5,90,4.64,"Saco, Maine, US"
"8","Chalet","Grand Étang","Canada","Cedar Peak 2 Bedroom Barrier-Free Chalet",2,381,FALSE,2023-06-08,2023-06-15,7,48,5,"Grand Étang, Canada"
"9","Room","Mexico City","Mexico","Room in apartment, traditional neighborhood",2,29,FALSE,2023-07-03,2023-07-08,5,58,4.84,"Mexico City, Mexico"
"10","Tiny home","Sandy Valley","US","Peacock Tiny House near Las Vegas",3,154,FALSE,2023-06-26,2023-07-01,5,744,4.92,"Sandy Valley, Nevada, US"
"11","Guest suite","Huntsville","Canada","Hidden Valleys Guest Suite - explore nature",2,207,FALSE,2023-09-04,2023-09-10,6,265,4.97,"Huntsville, Canada"
"12","Cabin","Nelson","Canada","Downey Family Cabin. Barrel Sauna Included!",2,162,FALSE,2023-06-01,2023-06-06,5,226,4.99,"Nelson, Canada"
"13","Dome","Joshua Tree","US","Dome in the Desert in Joshua Tree",1,268,FALSE,2023-06-01,2023-06-06,5,944,4.94,"Joshua Tree, California, US"
"14","Barn","Vero Beach","US","Private Barn Studio at Pura Vida Florida Farm",2,111,FALSE,2023-09-11,2023-09-16,5,417,4.95,"Vero Beach, Florida, US"
